Rule_ID,Rule_Name,Apartment_ID,Description,Conflict_Type,Status,Reasoning,,,,,,
R_ST,Night Energy Saver,A1,Turns off the camera smart plug when energy-saving mode is enabled.,Logical,Conflicted,Conflicted with R_HA: one rule turns the camera smart plug OFF for energy saving while the other requires the camera ON/recording for night surveillance.,,,,,,
R_HA,Night Surveillance,A1,"In Away mode at night, ensures camera is powered and starts recording.",Logical,Conflicted,Conflicted with R_ST: one rule turns the camera smart plug OFF for energy saving while the other requires the camera ON/recording for night surveillance.,,,,,,
R_A2_LR_1,Living Room Motion Lighting,A2,Turns on the living room light when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_BR_1,Bedroom Heater Night Comfort,A2,Turns on the bedroom heater during sleep time when temperature is low.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_ENT_1,Entrance Welcome Light,A2,Turns on the entrance light when the apartment is occupied in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_ENT_2,Smoke Response Lighting,A2,Turns on the entrance light when smoke is detected.,Semantic,Conflicted,"Conflicted with R_A2_ENT_3: smoke response turns the entrance light ON, which triggers auto-locking of the entrance door during a fire/smoke event, creating an unsafe exit condition.",,,,,,
R_A2_ENT_3,Entrance Security Auto Lock,A2,Locks the entrance door when the entrance light turns on.,Semantic,Conflicted,"Conflicted with R_A2_ENT_2: smoke response turns the entrance light ON, which triggers auto-locking of the entrance door during a fire/smoke event, creating an unsafe exit condition.",,,,,,
R_A3_LR_1,Brighten My Path Living Room,A3,Turns on the living room light when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A3_BR_1,Bedroom Sleep Comfort,A3,Sets a comfortable bedroom temperature during sleep time when room temperature is low.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A3_ENT_1,Entrance Auto Lock When Away,A3,Locks the entrance door when the door is closed and the apartment is in Away mode.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A4_KIT_1,Kitchen Leak Shutoff,A4,Closes the kitchen water valve when a leak is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A4_LR_1,Living Room Low Light Assist,A4,Turns on the living room floor lamp when illuminance is low in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
